dataset,permutation_mode,run_id,predicted_algo,ari_cal,ari_sil,stable_prediction
Haberman,row,6,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,6,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,6,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,6,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,6,ward,0.13168563015609758,0.13168563015609758,False
thyroid-new,row,6,dbscan,0.6792623354229049,0.6792623354229049,False
tic-tac-toe,row,6,kmedians,0.011683548719267207,0.01814196539712149,True
Transfusion,row,6,spectral_clustering,-0.03561923887779733,-0.01235857274619141,False
Vehicle,row,6,gaussian,0.08776256054027652,0.08776256054027652,False
VertebralColumn,row,6,gaussian,0.04902833726416902,0.04902833726416902,False
waveform-5000,row,6,kmedians,0.34497929521074844,0.34497929521074844,False
WineQualityRed,row,6,spectral_clustering,-0.0029351829466449635,-0.0029351829466449635,True
anneal,row,7,kmedians,0.11514812038501775,0.0941916469993108,True
banknote-authentication,row,7,gaussian,0.023133958521983432,0.023133958521983432,False
BreastTissue,row,7,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,7,agglomerative,-0.0021122465170179384,0.013011090058133872,False
chatfield_4,row,7,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,7,gaussian,0.07068177411815221,0.07068177411815221,True
Ecoli,row,7,dbscan,0.49319935169270396,0.49319935169270396,True
Glass,row,7,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,7,spectral_clustering,-0.02407193341876831,-0.025553345806445613,False
Iris,row,7,kmedians,0.5489713200964548,0.5489713200964548,False
Parkinsons,row,7,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,7,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,7,agglomerative,0.17513423697159766,0.17513423697159766,True
thyroid-new,row,7,dbscan,0.6792623354229049,0.6792623354229049,False
tic-tac-toe,row,7,kmedians,0.09586734405193671,0.09586734405193671,True
Transfusion,row,7,spectral_clustering,-0.02149899842678904,-0.026854671217118008,False
Vehicle,row,7,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,row,7,gaussian,0.04902833726416902,0.04902833726416902,False
waveform-5000,row,7,kmedians,0.3428765345435696,0.3428765345435696,False
WineQualityRed,row,7,spectral_clustering,-0.0029351829466449635,0.07158813151247184,True
anneal,row,8,kmedians,0.1391860262177842,0.094006644815285,True
banknote-authentication,row,8,kmedians,0.18367304579333504,0.12065986709557784,True
BreastTissue,row,8,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,8,agglomerative,-0.0021122465170179384,0.013011090058133872,False
chatfield_4,row,8,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,8,gaussian,0.012616535428901917,0.012616535428901917,True
Ecoli,row,8,dbscan,0.49319935169270396,0.49319935169270396,True
Glass,row,8,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,8,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,8,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,8,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,8,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,8,agglomerative,0.17513423697159766,0.17513423697159766,True
thyroid-new,row,8,gaussian,0.27062274694919586,0.427686610929071,True
tic-tac-toe,row,8,kmedians,0.01161296776840545,0.01161296776840545,True
Transfusion,row,8,gaussian,0.019079072554486827,0.019079072554486827,True
Vehicle,row,8,spectral_clustering,0.11081511715897753,0.08690505725752318,True
VertebralColumn,row,8,dbscan,0.3668643110201198,0.3668643110201198,True
waveform-5000,row,8,kmedians,0.3439169729483837,0.3439169729483837,False
WineQualityRed,row,8,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
anneal,row,9,kmedians,0.10476889872130538,0.10476889872130538,True
banknote-authentication,row,9,gaussian,0.023133958521983432,0.023133958521983432,False
BreastTissue,row,9,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,9,birch,0.10299098501027848,0.16792451134845437,False
chatfield_4,row,9,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,9,gaussian,0.012616535428901917,0.012616535428901917,True
Ecoli,row,9,dbscan,0.49319935169270396,0.49319935169270396,True
Glass,row,9,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,9,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,9,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,9,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,9,dbscan,0.0003611870599546302,0.0003611870599546302,False
steel-plates-fault,row,9,agglomerative,0.17513423697159766,0.17513423697159766,True
thyroid-new,row,9,dbscan,0.6792623354229049,0.6792623354229049,False
tic-tac-toe,row,9,kmedians,0.01161296776840545,0.01161296776840545,True
Transfusion,row,9,gaussian,0.019714580264406603,0.019714580264406603,True
Vehicle,row,9,spectral_clustering,0.10856510836798841,0.08690505725752318,True
VertebralColumn,row,9,gaussian,0.04902833726416902,0.04902833726416902,False
waveform-5000,row,9,kmedians,0.34417467177150285,0.34417467177150285,False
WineQualityRed,row,9,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
anneal,row,10,kmedians,0.10418511358911124,0.08435154990058037,True
banknote-authentication,row,10,kmedians,0.18367304579333504,0.12317358118388208,True
BreastTissue,row,10,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,10,birch,0.10299098501027848,0.16792451134845437,False
chatfield_4,row,10,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,10,gaussian,0.012616535428901917,0.012616535428901917,True
Ecoli,row,10,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,10,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,10,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,10,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,10,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,10,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,10,ward,0.13168563015609758,0.13168563015609758,False
thyroid-new,row,10,dbscan,0.6792623354229049,0.6792623354229049,False
tic-tac-toe,row,10,ward,-0.012814511634352262,-0.012814511634352262,False
Transfusion,row,10,gaussian,0.009239170955189493,0.009239170955189493,True
Vehicle,row,10,gaussian,0.08776256054027652,0.08394680625202994,False
VertebralColumn,row,10,dbscan,0.3668643110201198,0.3668643110201198,True
waveform-5000,row,10,ward,0.21093383608910157,0.21093383608910157,True
WineQualityRed,row,10,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
anneal,row,11,kmedians,0.0813732511662227,0.09538435643155894,True
banknote-authentication,row,11,kmedians,0.18367304579333504,0.12204429902420794,True
BreastTissue,row,11,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,11,agglomerative,-0.0021122465170179384,0.013011090058133872,False
chatfield_4,row,11,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,11,dbscan,0.10345260177141657,0.10345260177141657,False
Ecoli,row,11,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,11,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,11,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,11,gaussian,0.5681159420289855,0.5681159420289855,False
Parkinsons,row,11,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,11,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,11,kmedians,0.145242472896479,0.145242472896479,False
thyroid-new,row,11,dbscan,0.6792623354229049,0.6792623354229049,False
tic-tac-toe,row,11,birch,-0.0021250751208487994,-0.0021250751208487994,False
Transfusion,row,11,gaussian,0.013172284067003453,0.013172284067003453,True
Vehicle,row,11,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,row,11,gaussian,0.04902833726416902,0.04902833726416902,False
waveform-5000,row,11,ward,0.21093383608910157,0.21093383608910157,True
WineQualityRed,row,11,gaussian,0.08284550950942081,0.0883542007348049,False
anneal,row,12,kmedians,0.07037107372496956,0.06603196378577103,True
banknote-authentication,row,12,kmedians,0.18367304579333504,0.12203179386545286,True
BreastTissue,row,12,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,12,kmedians,0.08542935174714136,0.08542935174714136,False
chatfield_4,row,12,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,12,dbscan,0.10345260177141657,0.10345260177141657,False
Ecoli,row,12,dbscan,0.49319935169270396,0.49319935169270396,True
Glass,row,12,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,12,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,12,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,12,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,12,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,12,agglomerative,0.17513423697159766,0.17513423697159766,True
thyroid-new,row,12,dbscan,0.6792623354229049,0.6792623354229049,False
tic-tac-toe,row,12,birch,-0.00022887344633518486,-0.00022887344633518486,False
Transfusion,row,12,spectral_clustering,-0.029304683769106245,-0.026854671217118008,False
Vehicle,row,12,gaussian,0.08776256054027652,0.08776256054027652,False
VertebralColumn,row,12,gaussian,0.04902833726416902,0.04902833726416902,False
waveform-5000,row,12,ward,0.21093383608910157,0.21093383608910157,True
WineQualityRed,row,12,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
anneal,row,13,kmedians,0.05103020490888724,0.0832707849392829,True
banknote-authentication,row,13,kmedians,0.18367304579333504,0.12139431525042549,True
BreastTissue,row,13,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,13,kmedians,0.08542935174714136,0.08542935174714136,False
chatfield_4,row,13,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,13,dbscan,0.10345260177141657,0.10345260177141657,False
Ecoli,row,13,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,13,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,13,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,13,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,13,gaussian,0.12184138103577684,0.12184138103577684,True
seeds,row,13,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,13,ward,0.13168563015609758,0.13168563015609758,False
thyroid-new,row,13,gaussian,0.2631387789548147,0.427686610929071,True
tic-tac-toe,row,13,kmedians,0.05081966323364639,0.011515871440157317,True
Transfusion,row,13,gaussian,-0.029073536943568186,0.010812988542834748,True
Vehicle,row,13,spectral_clustering,0.10856510836798841,0.08690505725752318,True
VertebralColumn,row,13,dbscan,0.3668643110201198,0.3668643110201198,True
waveform-5000,row,13,ward,0.21093383608910157,0.21093383608910157,True
WineQualityRed,row,13,spectral_clustering,0.061143485382584656,-0.0029351829466449635,True
anneal,row,14,kmedians,0.1391860262177842,0.029281423975485846,True
banknote-authentication,row,14,kmedians,0.18367304579333504,0.12322138982156976,True
BreastTissue,row,14,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,14,kmedians,0.08542935174714136,0.08542935174714136,False
chatfield_4,row,14,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,14,gaussian,0.07068177411815221,0.07068177411815221,True
Ecoli,row,14,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,14,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,14,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,14,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,14,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,14,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,14,ward,0.13168563015609758,0.13168563015609758,False
thyroid-new,row,14,dbscan,0.6792623354229049,0.6792623354229049,False
tic-tac-toe,row,14,ward,-0.012814511634352262,-0.012814511634352262,False
Transfusion,row,14,gaussian,0.01145849467289969,0.01145849467289969,True
Vehicle,row,14,spectral_clustering,0.10856510836798841,0.08690505725752318,True
VertebralColumn,row,14,dbscan,0.3668643110201198,0.3668643110201198,True
waveform-5000,row,14,ward,0.21093383608910157,0.21093383608910157,True
WineQualityRed,row,14,spectral_clustering,0.061689244453558036,-0.0029351829466449635,True
anneal,row,15,kmedians,0.05782897764412856,0.09102073896715573,True
banknote-authentication,row,15,kmedians,0.18367304579333504,0.12364358951477293,True
BreastTissue,row,15,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,15,birch,0.10299098501027848,0.16792451134845437,False
chatfield_4,row,15,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,15,gaussian,0.012616535428901917,0.012616535428901917,True
Ecoli,row,15,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,15,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,15,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,15,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,15,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,15,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,15,ward,0.13168563015609758,0.13168563015609758,False
thyroid-new,row,15,gaussian,0.3207726594778233,0.427686610929071,True
tic-tac-toe,row,15,kmedians,0.01161296776840545,0.009609208019012373,True
Transfusion,row,15,gaussian,0.0131436064119293,0.0131436064119293,True
Vehicle,row,15,spectral_clustering,0.11081511715897753,0.08690505725752318,True
VertebralColumn,row,15,gaussian,0.04902833726416902,0.04902833726416902,False
waveform-5000,row,15,kmedians,0.3429413948107458,0.3429413948107458,False
WineQualityRed,row,15,spectral_clustering,-0.0029351829466449635,-0.0029351829466449635,True
anneal,row,16,kmedians,0.09472713162430017,0.08793455104319256,True
banknote-authentication,row,16,gaussian,0.02223272299594617,0.02223272299594617,False
BreastTissue,row,16,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,16,agglomerative,-0.0021122465170179384,0.013011090058133872,False
chatfield_4,row,16,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,16,gaussian,0.012616535428901917,0.012616535428901917,True
Ecoli,row,16,dbscan,0.49319935169270396,0.49319935169270396,True
Glass,row,16,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,16,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,16,gaussian,0.5681159420289855,0.5681159420289855,False
Parkinsons,row,16,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,16,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,16,ward,0.13168563015609758,0.13168563015609758,False
thyroid-new,row,16,gaussian,0.3296314182882149,0.427686610929071,True
tic-tac-toe,row,16,kmedians,0.05081966323364639,0.01529769274289544,True
Transfusion,row,16,gaussian,-0.02911387807989949,-0.02911387807989949,True
Vehicle,row,16,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,row,16,gaussian,0.04902833726416902,0.04902833726416902,False
waveform-5000,row,16,ward,0.21093383608910157,0.21093383608910157,True
WineQualityRed,row,16,spectral_clustering,0.061689244453558036,-0.0029351829466449635,True
anneal,row,17,kmedians,0.08534993058433044,0.08534993058433044,True
banknote-authentication,row,17,gaussian,0.023133958521983432,0.023133958521983432,False
BreastTissue,row,17,dbscan,0.268213715336592,0.268213715336592,True
Cervical_Cancer_Risk_Factors,row,17,kmedians,0.08542935174714136,0.08542935174714136,False
chatfield_4,row,17,dbscan,0.4883780106806862,0.4883780106806862,True
diabetes,row,17,gaussian,0.07068177411815221,0.07068177411815221,True
Ecoli,row,17,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,17,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,17,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,17,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,17,gaussian,0.05135036104397965,0.12184138103577684,True
seeds,row,17,gaussian,0.45397186216883745,0.45397186216883745,True
steel-plates-fault,row,17,ward,0.13168563015609758,0.13168563015609758,False
thyroid-new,row,17,dbscan,0.6792623354229049,0.6792623354229049,False
tic-tac-toe,row,17,birch,0.005961798735591531,0.005961798735591531,False
Transfusion,row,17,gaussian,0.011189467716350775,0.01839595019411951,True
Vehicle,row,17,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,row,17,dbscan,0.3668643110201198,0.3668643110201198,True
waveform-5000,row,17,kmedians,0.34176725607411834,0.34176725607411834,False
WineQualityRed,row,17,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
anneal,row,18,kmedians,0.06716384772472597,0.11465693963387846,True
banknote-authentication,row,18,kmedians,0.18367304579333504,0.12042508366853204,True
